,id,latitude,longitude,price,days_occupied_in_2019,minimum_nights,number_of_reviews,reviews_per_month,availability_2020,clusters,cluster
11127,29802895,40.76199,-73.88331,38,111,1,54,4.09,81,0,pink
11128,25378614,40.76218,-73.88589,80,194,1,124,6.69,0,0,pink
11129,20071095,40.75704,-73.89006,80,210,1,27,0.97,154,2,dark purple
11130,16601841,40.76224,-73.8766,40,218,1,151,4.4,129,2,dark purple
11131,23156950,40.74879,-73.88342,59,289,1,24,1.1,0,0,pink
11132,19155616,40.75243,-73.89553,59,312,1,219,7.68,64,2,dark purple
11133,17189812,40.75625,-73.88957,64,344,1,44,1.77,0,2,dark purple
11134,28215216,40.6844,-73.74601,250,0,1,2,0.13,340,0,pink
11135,2892709,40.68608,-73.7869,39,0,1,237,3.51,363,1,purple
11136,28314777,40.69742,-73.78541,65,0,1,31,2.04,364,0,pink
11137,7433174,40.67205,-73.75343,109,0,1,1,0.06,365,1,purple
11138,27191858,40.65455,-73.72671,75,0,1,2,0.14,365,0,pink
11139,15941474,40.70857,-73.8075,120,0,1,79,2.13,365,2,dark purple
11140,25356602,40.66732,-73.77813,60,1,1,7,0.38,364,0,pink
11141,7787983,40.68542,-73.7926,52,1,1,187,3.58,365,1,purple
11142,15569399,40.7036,-73.76637,63,2,1,67,1.76,0,2,dark purple
11143,1466534,40.69045,-73.77467,59,4,1,19,0.25,361,1,purple
11144,15970318,40.70839,-73.80623,75,5,1,50,1.36,359,2,dark purple
11145,1332473,40.72512,-73.73986,80,5,1,11,0.14,362,1,purple
11146,19361884,40.70962,-73.80616,70,7,1,41,1.37,355,2,dark purple
11147,24805086,40.66204,-73.76597,60,7,1,57,2.95,362,0,pink
11148,8533457,40.69872,-73.78614,70,8,1,100,1.99,365,1,purple
11149,20306155,40.66524,-73.73283,84,9,1,102,3.75,297,2,dark purple
11150,5482918,40.6631,-73.76749,73,9,1,152,3.47,349,1,purple
11151,21739781,40.72417,-73.76053,65,10,1,21,1.16,0,0,pink
11152,24024721,40.67048,-73.77832,60,11,1,172,8.36,149,0,pink
11153,20814067,40.69514,-73.74902,55,12,1,128,5.44,0,2,dark purple
11154,22191500,40.68739,-73.80555,50,12,1,40,1.71,364,0,pink
11155,25723733,40.67051,-73.77693,50,14,1,99,5.74,308,0,pink
11156,29884334,40.66199,-73.772,70,16,1,95,7.29,126,0,pink
11157,22341035,40.68804,-73.80564,50,17,1,23,1.23,336,0,pink
11158,20306217,40.66458,-73.73464,65,19,1,178,6.31,0,2,dark purple
11159,6908837,40.68637,-73.79214,53,19,1,206,3.86,365,1,purple
11160,28656163,40.70649,-73.74517,45,22,1,33,2.24,0,0,pink
11161,18076911,40.6987,-73.78455,50,26,1,48,1.51,365,2,dark purple
11162,16619241,40.68132,-73.75403,89,30,1,263,7.42,322,2,dark purple
11163,28391512,40.69898,-73.75518,50,31,1,71,4.73,351,0,pink
11164,26958633,40.69698,-73.72962,40,33,1,27,1.66,341,0,pink
11165,12812630,40.69172,-73.79495,60,59,1,109,2.51,0,2,dark purple
11166,20149903,40.70723,-73.72948,75,85,1,16,0.58,249,2,dark purple
11167,16604112,40.71107,-73.78429,72,168,1,20,0.85,169,2,dark purple
11168,9759592,40.67836,-73.729,90,185,1,58,1.21,154,1,purple
11169,24117055,40.66021,-73.73709,60,185,1,22,1.39,176,0,pink
11170,27603879,40.66049,-73.73496,60,186,1,19,1.24,176,0,pink
11171,28911775,40.68754,-73.77488,50,188,1,23,1.64,170,0,pink
11172,28340434,40.66556,-73.75735,180,189,1,3,0.21,154,0,pink
11173,15188738,40.70327,-73.76785,100,191,1,54,1.39,180,2,dark purple
11174,20800988,40.68496,-73.78194,55,192,1,7,0.3,175,2,dark purple
11175,17611001,40.68787,-73.78843,80,195,1,144,4.83,179,2,dark purple
11176,23456621,40.67183,-73.78025,60,196,1,102,4.8,0,0,pink
11177,22346441,40.68695,-73.8045,79,207,1,75,3.2,148,0,pink
11178,19748517,40.68009,-73.78736,75,217,1,19,0.65,180,2,dark purple
11179,16814205,40.67949,-73.79841,53,293,1,464,13.33,78,2,dark purple
11180,21112848,40.6651,-73.76614,70,296,1,19,0.75,81,2,dark purple
11181,28041818,40.67296,-73.79658,80,302,1,109,8.36,55,0,pink
11182,26110466,40.67057,-73.77869,60,303,1,45,2.54,90,0,pink
11183,22176831,40.66158,-73.7705,50,305,1,421,17.44,50,0,pink
11184,15288813,40.67518,-73.78046,75,312,1,45,1.16,11,2,dark purple
11185,15394295,40.67603,-73.78217,70,313,1,29,0.78,11,2,dark purple
11186,21550302,40.6611,-73.7683,80,317,1,489,19.25,54,0,pink
11187,9145202,40.6673,-73.76831,47,339,1,675,14.02,0,1,purple
11188,21289640,40.66934,-73.77269,68,350,1,20,1.22,15,2,dark purple
11189,15665469,40.64381,-73.97018,54,289,1,153,4.05,72,2,dark purple
11190,30418905,40.6289,-73.97683,35,361,1,9,0.73,0,0,pink
11191,27523631,40.73662,-73.82764,50,10,1,20,1.25,6,0,pink
11192,6717053,40.74024,-73.83105,68,23,1,238,4.36,337,1,purple
11193,22087093,40.88447,-73.90157,55,211,1,16,0.68,179,0,pink
11194,9334185,40.87842,-73.9029,81,19,1,69,1.51,354,1,purple
11195,21139869,40.74274,-73.97918,115,331,1,194,7.31,0,2,dark purple
11196,6343641,40.66117,-73.96083,62,24,1,54,1.0,363,1,purple
11197,786053,40.65545,-73.95781,60,27,1,183,2.34,355,1,purple
11198,21948571,40.6627,-73.95196,60,49,1,80,3.37,274,0,pink
11199,6316786,40.66083,-73.96247,52,62,1,31,0.56,230,1,purple
11200,17600777,40.66042,-73.96234,160,76,1,54,1.65,285,2,dark purple
11201,1728437,40.66182,-73.95338,65,142,1,45,0.65,247,1,purple
11202,28644822,40.65787,-73.95927,60,196,1,18,1.27,135,0,pink
11203,25355219,40.66116,-73.94781,85,284,1,9,0.56,45,0,pink
11204,28585119,40.66089,-73.9625,80,290,1,7,0.72,41,0,pink
11205,7547481,40.65845,-73.96064,60,309,1,156,3.9,59,1,purple
11206,7542500,40.65736,-73.96094,55,324,1,129,2.43,48,1,purple
11207,3591107,40.65598,-73.95512,50,355,1,12,0.28,0,1,purple
11208,30508185,40.66894,-73.85369,40,318,1,4,0.35,4,0,pink
11209,4887250,40.74741,-73.94712,95,20,1,155,2.77,0,1,purple
11210,783964,40.74997,-73.9397,70,24,1,159,1.92,350,1,purple
11211,9887763,40.7484,-73.94604,90,294,1,69,1.44,69,1,purple
11212,6084475,40.74637,-73.94615,60,299,1,93,1.68,0,1,purple
11213,4302293,40.74742,-73.94647,58,300,1,43,1.98,6,1,purple
11214,3771845,40.72144,-73.99356,95,15,1,72,1.16,65,1,purple
11215,5881122,40.71735,-73.98213,125,23,1,59,1.37,340,1,purple
11216,20304654,40.72268,-73.9893,115,27,1,211,7.51,337,2,dark purple
11217,19555750,40.71391,-73.99162,60,36,1,121,4.11,0,2,dark purple
11218,16805869,40.71863,-73.98958,100,141,1,97,2.76,333,2,dark purple
11219,15223434,40.7135,-73.99121,75,236,1,350,8.99,0,2,dark purple
11220,16917225,40.71427,-73.99261,91,243,1,65,2.07,157,2,dark purple
11221,13892036,40.7209,-73.98822,85,267,1,146,3.6,2,2,dark purple
11222,823880,40.72125,-73.99272,69,269,1,361,4.67,114,1,purple
11223,21313582,40.71818,-73.98922,85,294,1,108,4.17,64,2,dark purple
11224,7247033,40.71574,-73.99107,100,296,1,13,0.24,7,1,purple
11225,13761654,40.72144,-73.98655,69,300,1,10,0.24,125,2,dark purple
11226,13422992,40.72079,-73.98965,175,344,1,39,2.44,0,2,dark purple
11227,27078212,40.71694,-73.99032,93,348,1,20,1.24,83,0,pink
11228,21920061,40.72147,-73.99054,85,354,1,4,0.17,0,0,pink
11229,25545275,40.72077,-73.98427,95,359,1,9,0.5,0,0,pink
11230,26132476,40.75544,-73.99721,99,0,1,7,0.5,349,0,pink
11231,27546295,40.75412,-73.99651,99,0,1,1,0.15,350,0,pink
11232,28222827,40.75534,-73.99668,99,0,1,6,0.4,351,0,pink
11233,26947761,40.75503,-73.99724,99,0,1,1,0.22,352,0,pink
